Image,Caption,Rights
urn:cite:ecod:cb48img.cb_0048_001r,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 1 recto","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 1 recto from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_001v,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 1 verso","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 1 verso from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_002r,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 2 recto","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 2 recto from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_002v,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 2 verso","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 2 verso from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_003r,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 3 recto","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 3 recto from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_003v,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 3 verso","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 3 verso from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_004r,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 4 recto","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 4 recto from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_004v,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 4 verso","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 4 verso from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_005r,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 5 recto","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 5 recto from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_005v,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 5 verso","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 5 verso from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_006r,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 6 recto","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 6 recto from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_006v,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 6 verso","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 6 verso from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_007r,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 7 recto","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 7 recto from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:cb48img.cb_0048_007v,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 7 verso","Image of Cologny, Fondation Martin Bodmer, Cod. Bodmer 48, folio 7 verso from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
